ID,WEEK,LOC_ID,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE
1,1,-999,16,70,51,28
2,1,21,21,184,34,7
3,1,29,29,2,38,7
4,1,56,56,145,52,51
5,1,71,71,72,73,35
6,1,79,79,82,17,10
7,1,98,98,199,45,24
8,1,99,99,111,51,23
9,1,188,100,188,39,35
10,1,150,150,146,24,0
11,1,153,153,117,27,10
12,1,65,161,65,30,13
13,1,-999,165,152,22,21
14,1,39,181,39,33,18
15,1,-999,183,209,34,7
16,1,186,186,187,30,26
17,1,194,194,140,31,7
18,1,8,8,123,35,0
19,1,13,13,106,28,12
20,1,66,66,160,62,13
21,1,94,94,52,34,6
22,1,97,97,202,26,13
23,1,78,121,78,24,21
24,1,-999,148,61,31,21
25,1,163,177,163,41,23
26,1,1,1,36,38,13
27,1,-999,3,192,35,10
28,1,10,10,85,34,14
29,1,11,11,12,62,11
30,1,14,14,196,31,24
31,1,17,17,205,69,3
32,1,20,20,189,24,14
33,1,33,33,141,42,7
34,1,35,35,59,38,35
35,1,42,42,118,45,0
36,1,44,44,134,52,38
37,1,149,45,149,40,19
38,1,47,47,67,34,24
39,1,136,48,136,49,46
40,1,50,50,180,24,6
41,1,62,62,49,70,0
42,1,70,70,162,42,34
43,1,-999,83,175,37,27
44,1,89,89,95,52,14
45,1,90,90,53,43,10
46,1,157,92,157,53,21
47,1,96,96,30,59,9
48,1,102,102,107,58,14
49,1,109,109,206,37,34
50,1,119,119,84,40,14
51,1,122,122,68,40,6
52,1,73,125,73,30,27
53,1,74,126,74,28,20
54,1,25,127,25,44,30
55,1,129,129,170,28,6
56,1,131,131,23,40,20
57,1,132,132,86,34,0
58,1,-999,133,101,21,3
59,1,135,135,115,66,3
60,1,-999,137,169,23,17
61,1,171,171,15,45,0
62,1,173,173,114,56,7
63,1,174,174,143,52,31
64,1,164,176,164,22,15
65,1,113,179,113,21,13
66,1,182,182,5,34,31
67,1,185,185,110,58,20
68,1,190,190,22,19,16
69,1,195,195,19,38,6
70,1,198,198,203,24,17
71,1,-999,201,80,35,26
72,1,204,204,91,45,0
73,1,-999,37,38,41,27
74,1,87,87,130,49,7
75,1,138,54,138,41,13
76,2,9,9,146,55,0
77,2,44,44,52,31,13
78,2,20,20,194,24,10
79,2,53,29,53,38,0
80,2,2,2,76,35,33
81,2,111,8,111,58,13
82,2,10,10,148,31,21
83,2,14,14,11,38,9
84,2,16,16,13,40,14
85,2,17,17,23,70,13
86,2,19,19,172,63,14
87,2,79,21,79,41,22
88,2,22,22,173,40,21
89,2,25,25,139,37,30
90,2,30,30,112,24,21
91,2,-999,32,61,42,14
92,2,35,35,154,52,13
93,2,37,37,28,38,24
94,2,93,42,93,28,14
95,2,56,56,24,41,25
96,2,59,59,153,41,30
97,2,170,66,170,22,13
98,2,70,70,33,45,17
99,2,73,73,103,28,14
100,2,77,77,155,31,14
101,2,78,78,85,48,27
102,2,80,80,95,41,7
103,2,83,83,5,56,17
104,2,84,84,81,27,14
105,2,86,86,63,48,10
106,2,87,87,46,44,7
107,2,-999,88,91,24,14
108,2,89,89,58,55,0
109,2,90,90,134,47,10
110,2,94,94,50,21,16
111,2,96,96,129,41,30
112,2,97,97,157,21,6
113,2,114,99,114,44,21
114,2,100,100,158,31,13
115,2,101,101,6,51,7
116,2,102,102,180,38,23
117,2,71,108,71,41,35
118,2,109,109,164,56,13
119,2,110,110,26,36,7
120,2,178,113,178,42,35
121,2,202,115,202,27,23
122,2,117,117,98,40,20
123,2,119,119,144,23,21
124,2,127,127,169,48,27
125,2,130,130,122,27,21
126,2,131,131,149,42,7
127,2,132,132,198,16,7
128,2,179,133,179,56,35
129,2,190,135,190,59,10
130,2,136,136,65,33,14
131,2,137,137,47,45,7
132,2,141,141,72,20,14
133,2,145,145,116,38,0
134,2,183,152,183,41,39
135,2,163,163,105,31,30
136,2,166,166,150,34,13
137,2,171,171,201,52,20
138,2,174,174,147,65,28
139,2,175,175,159,38,17
140,2,-999,176,210,28,3
141,2,177,177,167,61,13
142,2,182,182,151,66,3
143,2,184,184,38,30,27
144,2,186,186,197,70,7
145,2,1,187,1,52,20
146,2,188,188,15,38,3
147,2,192,192,199,45,3
148,2,161,196,161,10,7
149,2,204,204,211,48,0
150,2,206,206,68,42,10
151,3,11,11,182,41,34
152,3,177,177,175,20,10
153,3,84,183,84,24,15
154,3,19,19,1,42,20
155,3,174,3,174,49,42
156,3,8,8,179,38,13
157,3,9,9,204,32,30
158,3,10,10,164,24,3
159,3,14,14,101,24,20
160,3,53,18,53,34,13
161,3,23,23,168,26,23
162,3,137,29,137,34,31
163,3,33,33,128,66,9
164,3,38,38,24,34,17
165,3,157,52,157,28,10
166,3,54,54,110,62,7
167,3,170,55,170,30,29
168,3,37,56,37,,
169,3,42,62,42,38,14
170,3,71,71,21,42,10
171,3,74,73,74,27,21
172,3,78,78,91,37,7
173,3,83,83,79,45,13
174,3,85,85,115,70,7
175,3,194,86,194,21,19
176,3,80,87,80,27,13
177,3,39,90,39,32,21
178,3,96,96,2,28,24
179,3,97,97,208,55,17
180,3,98,98,93,17,15
181,3,99,99,200,29,12
182,3,173,100,173,44,23
183,3,108,108,40,51,7
184,3,111,111,30,31,21
185,3,122,122,16,34,27
186,3,68,125,68,45,35
187,3,127,127,202,38,17
188,3,141,129,141,31,24
189,3,130,130,89,34,31
190,3,25,131,25,52,34
191,3,132,132,184,51,20
192,3,133,133,81,59,3
193,3,135,135,171,59,14
194,3,186,136,186,51,48
195,3,138,138,113,49,27
196,3,143,143,77,23,14
197,3,145,145,47,28,10
198,3,152,152,201,31,24
199,3,153,153,188,35,25
200,3,161,161,20,35,7
201,3,13,166,13,34,20
202,3,169,169,193,54,0
203,3,114,178,114,42,21
204,3,180,180,48,33,21
205,3,109,185,109,41,21
206,3,187,187,197,70,6
207,3,44,192,44,15,10
208,3,-999,195,70,34,24
209,3,196,196,165,48,10
210,3,198,198,61,41,7
211,3,206,206,124,35,7
212,4,119,35,119,26,14
213,4,56,56,19,41,40
214,4,3,3,38,31,6
215,4,5,5,128,52,28
216,4,47,16,47,51,20
217,4,17,17,86,70,7
218,4,21,21,107,48,7
219,4,95,33,95,14,0
220,4,50,50,171,31,17
221,4,54,54,18,54,6
222,4,59,59,122,45,21
223,4,62,62,117,28,20
224,4,143,66,143,31,26
225,4,73,73,202,59,3
226,4,-999,75,61,32,26
227,4,77,77,84,13,10
228,4,83,83,14,35,21
229,4,2,85,2,35,30
230,4,87,87,53,72,0
231,4,-999,90,198,37,0
232,4,93,93,11,31,7
233,4,94,94,151,77,7
234,4,39,96,39,24,21
235,4,52,98,52,42,35
236,4,99,99,150,43,24
237,4,101,101,182,62,7
238,4,71,102,71,45,28
239,4,109,109,156,59,20
240,4,110,110,65,31,9
241,4,111,111,200,38,7
242,4,125,125,45,43,39
243,4,127,127,88,35,21
244,4,129,129,97,17,13
245,4,130,130,15,38,0
246,4,131,131,51,76,0
247,4,149,136,149,34,30
248,4,137,137,79,34,0
249,4,42,138,42,58,55
250,4,145,145,10,28,24
251,4,161,161,187,17,14
252,4,166,166,9,42,28
253,4,169,169,183,52,17
254,4,173,173,78,31,21
255,4,174,174,163,42,13
256,4,177,177,176,33,7
257,4,178,179,178,32,13
258,4,30,180,30,38,17
259,4,185,185,114,59,13
260,4,22,186,22,20,13
261,4,91,188,91,24,7
262,4,190,190,191,49,0
263,4,192,192,89,29,21
264,4,13,194,13,25,11
265,4,195,195,69,56,0
266,4,196,196,68,42,0
267,4,201,201,106,58,17
268,4,204,204,141,41,10
269,4,1,206,1,56,23
270,5,184,74,184,38,21
271,5,62,192,62,17,10
272,5,22,22,98,37,10
273,5,150,187,150,40,12
274,5,3,3,100,25,0
275,5,9,9,161,62,41
276,5,-999,13,84,35,16
277,5,16,16,180,31,24
278,5,19,19,164,60,7
279,5,21,21,2,31,14
280,5,23,23,39,41,12
281,5,35,35,194,56,7
282,5,38,38,178,59,42
283,5,42,42,182,38,31
284,5,117,44,117,55,31
285,5,80,50,80,24,7
286,5,20,54,20,48,34
287,5,65,56,65,42,37
288,5,59,59,83,44,41
289,5,179,66,179,59,28
290,5,68,68,170,26,24
291,5,70,70,95,50,14
292,5,99,73,99,23,7
293,5,202,79,202,32,14
294,5,157,94,157,49,21
295,5,102,102,11,41,19
296,5,110,110,1,45,42
297,5,113,111,113,56,42
298,5,119,119,30,48,14
299,5,141,125,141,55,24
300,5,131,131,204,31,24
301,5,129,132,129,35,21
302,5,135,135,25,55,16
303,5,136,136,37,44,17
304,5,138,138,190,14,3
305,5,143,143,52,18,14
306,5,114,149,114,26,16
307,5,29,153,29,28,25
308,5,196,166,196,55,17
309,5,171,171,152,31,24
310,5,10,174,10,45,33
311,5,175,175,163,48,17
312,5,176,176,206,42,21
313,5,86,183,86,31,14
314,5,188,188,5,52,24
315,5,195,195,8,31,13
316,5,198,198,133,30,21
317,5,201,201,108,19,7
318,6,74,173,74,31,30
319,6,186,185,186,34,27
320,6,86,201,86,31,10
321,6,187,22,187,31,14
322,6,149,149,110,51,44
323,6,3,3,61,45,3
324,6,14,14,100,30,22
325,6,190,16,190,48,27
326,6,17,17,198,73,42
327,6,20,20,13,48,27
328,6,21,21,91,28,7
329,6,23,23,47,42,14
330,6,93,29,93,24,17
331,6,95,30,95,21,9
332,6,169,35,169,49,14
333,6,98,44,98,24,17
334,6,50,50,10,30,10
335,6,5,52,5,37,23
336,6,164,53,164,24,23
337,6,54,54,90,63,0
338,6,68,56,68,61,14
339,6,171,59,171,34,31
340,6,71,71,137,44,24
341,6,101,83,101,59,26
342,6,178,84,178,38,35
343,6,85,85,176,48,24
344,6,170,87,170,30,7
345,6,89,89,179,34,10
346,6,94,94,62,45,30
347,6,96,96,99,42,13
348,6,73,97,73,26,14
349,6,188,102,188,51,28
350,6,108,108,1,28,10
351,6,109,109,70,39,19
352,6,113,113,114,66,17
353,6,79,125,79,38,24
354,6,-999,129,9,37,34
355,6,2,130,2,43,3
356,6,127,131,127,40,30
357,6,132,132,175,20,17
358,6,133,133,78,33,29
359,6,37,135,37,57,16
360,6,184,143,184,30,27
361,6,163,145,163,55,52
362,6,65,150,65,37,27
363,6,153,153,80,35,28
364,6,157,157,33,26,20
365,6,166,166,195,31,28
366,6,77,177,77,54,16
367,6,180,180,202,47,20
368,6,182,182,152,34,33
