Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
76,1,Sep 4 2011,,Sun,(7) Texas A&M,12:00 AM,,Southern Methodist,14,
77,1,Sep 4 2011,,Sun,(19) West Virginia,12:00 AM,,Marshall,13,
78,1,Sep 5 2011,,Mon,Maryland,12:00 AM,,Miami (FL),24,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
79,2,Sep 8 2011,,Thu,(9) Oklahoma State,12:00 AM,,Arizona,14,
80,2,Sep 9 2011,,Fri,Arizona State,12:00 AM,,(21) Missouri,30,
81,2,Sep 9 2011,,Fri,Florida International,12:00 AM,@,Louisville,17,
82,2,Sep 10 2011,,Sat,(3) Alabama,12:00 AM,@,(23) Penn State,11,
83,2,Sep 10 2011,,Sat,(14) Arkansas,12:00 AM,,New Mexico,3,Little Rock AR
84,2,Sep 10 2011,,Sat,Arkansas State,12:00 AM,,Memphis,3,
85,2,Sep 10 2011,,Sat,Auburn,12:00 AM,,(16) Mississippi State,34,
86,2,Sep 10 2011,,Sat,Bowling Green State,12:00 AM,,Morgan State,13,
87,2,Sep 10 2011,,Sat,Buffalo,12:00 AM,,Stony Brook,7,
88,2,Sep 10 2011,,Sat,California,12:00 AM,@,Colorado,33,
89,2,Sep 10 2011,,Sat,Central Florida,12:00 AM,,Boston College,3,
90,2,Sep 10 2011,,Sat,Clemson,12:00 AM,,Wofford,27,
91,2,Sep 10 2011,,Sat,Colorado State,12:00 AM,,Northern Colorado,14,
92,2,Sep 10 2011,,Sat,Eastern Michigan,12:00 AM,,Alabama State,7,
93,2,Sep 10 2011,,Sat,(18) Florida,12:00 AM,,Alabama-Birmingham,0,
94,2,Sep 10 2011,,Sat,(5) Florida State,12:00 AM,,Charleston Southern,10,
95,2,Sep 10 2011,,Sat,Georgia Tech,12:00 AM,@,Middle Tennessee State,21,
96,2,Sep 10 2011,,Sat,Houston,12:00 AM,@,North Texas,23,
97,2,Sep 10 2011,,Sat,Idaho,12:00 AM,,North Dakota,14,
98,2,Sep 10 2011,,Sat,Illinois,12:00 AM,,South Dakota State,3,
99,2,Sep 10 2011,,Sat,Iowa State,12:00 AM,,Iowa,41,
100,2,Sep 10 2011,,Sat,Kansas,12:00 AM,,Northern Illinois,42,
101,2,Sep 10 2011,,Sat,Kentucky,12:00 AM,,Central Michigan,13,
102,2,Sep 10 2011,,Sat,(2) Louisiana State,12:00 AM,,Northwestern State,3,
103,2,Sep 10 2011,,Sat,Louisiana Tech,12:00 AM,,Central Arkansas,42,
104,2,Sep 10 2011,,Sat,Louisiana-Lafayette,12:00 AM,@,Kent State,12,
105,2,Sep 10 2011,,Sat,Louisiana-Monroe,12:00 AM,,Grambling State,7,
106,2,Sep 10 2011,,Sat,Marshall,12:00 AM,,Southern Mississippi,20,
107,2,Sep 10 2011,,Sat,Michigan,12:00 AM,,Notre Dame,31,
108,2,Sep 10 2011,,Sat,(17) Michigan State,12:00 AM,,Florida Atlantic,0,
109,2,Sep 10 2011,,Sat,Mississippi,12:00 AM,,Southern Illinois,24,
