Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
316,5,Oct 1 2011,,Sat,Virginia,12:00 AM,,Idaho,20,
317,5,Oct 1 2011,,Sat,Wake Forest,12:00 AM,@,Boston College,19,
318,5,Oct 1 2011,,Sat,Washington,12:00 AM,@,Utah,14,
319,5,Oct 1 2011,,Sat,Washington State,12:00 AM,@,Colorado,27,
320,5,Oct 1 2011,,Sat,(22) West Virginia,12:00 AM,,Bowling Green State,10,
321,5,Oct 1 2011,,Sat,Western Michigan,12:00 AM,@,Connecticut,31,
322,5,Oct 1 2011,,Sat,(7) Wisconsin,12:00 AM,,(8) Nebraska,17,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
323,6,Oct 6 2011,,Thu,(9) Oregon,12:00 AM,,California,15,
324,6,Oct 6 2011,,Thu,Western Kentucky,12:00 AM,@,Middle Tennessee State,33,
325,6,Oct 7 2011,,Fri,(5) Boise State,12:00 AM,@,Fresno State,7,
326,6,Oct 8 2011,,Sat,(2) Alabama,12:00 AM,,Vanderbilt,0,
327,6,Oct 8 2011,,Sat,(22) Arizona State,12:00 AM,@,Utah,14,
328,6,Oct 8 2011,,Sat,(10) Arkansas,12:00 AM,,(15) Auburn,14,
329,6,Oct 8 2011,,Sat,Arkansas State,12:00 AM,@,Louisiana-Monroe,19,
330,6,Oct 8 2011,,Sat,(25) Baylor,12:00 AM,,Iowa State,26,
331,6,Oct 8 2011,,Sat,Brigham Young,12:00 AM,,San Jose State,16,
332,6,Oct 8 2011,,Sat,Buffalo,12:00 AM,,Ohio,37,
333,6,Oct 8 2011,,Sat,Central Florida,12:00 AM,,Marshall,6,
334,6,Oct 8 2011,,Sat,(8) Clemson,12:00 AM,,Boston College,14,
335,6,Oct 8 2011,,Sat,Florida International,12:00 AM,@,Akron,17,
336,6,Oct 8 2011,,Sat,Georgia,12:00 AM,@,Tennessee,12,
337,6,Oct 8 2011,,Sat,(13) Georgia Tech,12:00 AM,,Maryland,16,
338,6,Oct 8 2011,,Sat,Houston,12:00 AM,,East Carolina,3,
339,6,Oct 8 2011,,Sat,(19) Illinois,12:00 AM,@,Indiana,20,
340,6,Oct 8 2011,,Sat,(20) Kansas State,12:00 AM,,Missouri,17,
341,6,Oct 8 2011,,Sat,(1) Louisiana State,12:00 AM,,(17) Florida,11,
342,6,Oct 8 2011,,Sat,Louisiana Tech,12:00 AM,@,Idaho,11,
343,6,Oct 8 2011,,Sat,Louisiana-Lafayette,12:00 AM,,Troy,17,
344,6,Oct 8 2011,,Sat,Miami (OH),12:00 AM,,Army,28,
345,6,Oct 8 2011,,Sat,(12) Michigan,12:00 AM,@,Northwestern,24,
346,6,Oct 8 2011,,Sat,Mississippi State,12:00 AM,@,Alabama-Birmingham,3,
347,6,Oct 8 2011,,Sat,(14) Nebraska,12:00 AM,,Ohio State,27,
348,6,Oct 8 2011,,Sat,Nevada,12:00 AM,,Nevada-Las Vegas,0,
349,6,Oct 8 2011,,Sat,North Carolina,12:00 AM,,Louisville,7,
350,6,Oct 8 2011,,Sat,North Carolina State,12:00 AM,,Central Michigan,24,
351,6,Oct 8 2011,,Sat,North Texas,12:00 AM,,Florida Atlantic,17,
352,6,Oct 8 2011,,Sat,Northern Illinois,12:00 AM,,Kent State,10,
353,6,Oct 8 2011,,Sat,Notre Dame,12:00 AM,,Air Force,33,
354,6,Oct 8 2011,,Sat,(3) Oklahoma,12:00 AM,,(11) Texas,17,Dallas TX
355,6,Oct 8 2011,,Sat,(6) Oklahoma State,12:00 AM,,Kansas,28,
356,6,Oct 8 2011,,Sat,Oregon State,12:00 AM,,Arizona,27,
357,6,Oct 8 2011,,Sat,Penn State,12:00 AM,,Iowa,3,
358,6,Oct 8 2011,,Sat,Purdue,12:00 AM,,Minnesota,17,
359,6,Oct 8 2011,,Sat,Rice,12:00 AM,,Memphis,6,
360,6,Oct 8 2011,,Sat,Rutgers,12:00 AM,,Pittsburgh,10,
361,6,Oct 8 2011,,Sat,(18) South Carolina,12:00 AM,,Kentucky,3,
362,6,Oct 8 2011,,Sat,Southern Mississippi,12:00 AM,@,Navy,35,
363,6,Oct 8 2011,,Sat,(7) Stanford,12:00 AM,,Colorado,7,
364,6,Oct 8 2011,,Sat,Syracuse,12:00 AM,@,Tulane,34,
365,6,Oct 8 2011,,Sat,Temple,12:00 AM,@,Ball State,0,
366,6,Oct 8 2011,,Sat,(24) Texas A&M,12:00 AM,@,Texas Tech,40,
367,6,Oct 8 2011,,Sat,Texas Christian,12:00 AM,@,San Diego State,14,
368,6,Oct 8 2011,,Sat,Toledo,12:00 AM,,Eastern Michigan,16,
369,6,Oct 8 2011,,Sat,UCLA,12:00 AM,,Washington State,25,
370,6,Oct 8 2011,,Sat,Utah State,12:00 AM,,Wyoming,19,
371,6,Oct 8 2011,,Sat,(21) Virginia Tech,12:00 AM,,Miami (FL),35,
372,6,Oct 8 2011,,Sat,Wake Forest,12:00 AM,,(23) Florida State,30,
373,6,Oct 8 2011,,Sat,(16) West Virginia,12:00 AM,,Connecticut,16,
374,6,Oct 8 2011,,Sat,Western Michigan,12:00 AM,,Bowling Green State,21,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
375,7,Oct 13 2011,,Thu,San Diego State,12:00 AM,@,Air Force,27,
376,7,Oct 13 2011,,Thu,Southern California,12:00 AM,@,California,9,
377,7,Oct 14 2011,,Fri,San Jose State,12:00 AM,,Hawaii,27,
378,7,Oct 15 2011,,Sat,(2) Alabama,12:00 AM,@,Mississippi,7,
379,7,Oct 15 2011,,Sat,(24) Auburn,12:00 AM,,Florida,6,
380,7,Oct 15 2011,,Sat,Ball State,12:00 AM,@,Ohio,20,
381,7,Oct 15 2011,,Sat,(5) Boise State,12:00 AM,@,Colorado State,13,
382,7,Oct 15 2011,,Sat,Brigham Young,12:00 AM,@,Oregon State,28,
383,7,Oct 15 2011,,Sat,Cincinnati,12:00 AM,,Louisville,16,
384,7,Oct 15 2011,,Sat,(8) Clemson,12:00 AM,@,Maryland,45,
385,7,Oct 15 2011,,Sat,Connecticut,12:00 AM,,South Florida,10,
386,7,Oct 15 2011,,Sat,East Carolina,12:00 AM,@,Memphis,17,
387,7,Oct 15 2011,,Sat,Eastern Michigan,12:00 AM,@,Central Michigan,28,
388,7,Oct 15 2011,,Sat,Florida State,12:00 AM,@,Duke,16,
389,7,Oct 15 2011,,Sat,Fresno State,12:00 AM,,Utah State,21,
390,7,Oct 15 2011,,Sat,Georgia,12:00 AM,@,Vanderbilt,28,
391,7,Oct 15 2011,,Sat,Iowa,12:00 AM,,Northwestern,31,
392,7,Oct 15 2011,,Sat,(17) Kansas State,12:00 AM,@,Texas Tech,34,
393,7,Oct 15 2011,,Sat,(1) Louisiana State,12:00 AM,@,Tennessee,7,
394,7,Oct 15 2011,,Sat,Louisiana-Lafayette,12:00 AM,,North Texas,10,
395,7,Oct 15 2011,,Sat,Louisiana-Monroe,12:00 AM,@,Troy,10,
396,7,Oct 15 2011,,Sat,Marshall,12:00 AM,,Rice,20,
397,7,Oct 15 2011,,Sat,Miami (FL),12:00 AM,@,North Carolina,24,
398,7,Oct 15 2011,,Sat,Miami (OH),12:00 AM,@,Kent State,3,
399,7,Oct 15 2011,,Sat,(23) Michigan State,12:00 AM,,(11) Michigan,14,
400,7,Oct 15 2011,,Sat,Missouri,12:00 AM,,Iowa State,17,
401,7,Oct 15 2011,,Sat,Nevada,12:00 AM,,New Mexico,7,
402,7,Oct 15 2011,,Sat,New Mexico State,12:00 AM,,Idaho,24,
403,7,Oct 15 2011,,Sat,Northern Illinois,12:00 AM,,Western Michigan,22,
404,7,Oct 15 2011,,Sat,Ohio State,12:00 AM,@,(16) Illinois,7,
405,7,Oct 15 2011,,Sat,(3) Oklahoma,12:00 AM,@,Kansas,17,
406,7,Oct 15 2011,,Sat,(6) Oklahoma State,12:00 AM,@,(22) Texas,26,
407,7,Oct 15 2011,,Sat,(9) Oregon,12:00 AM,,(18) Arizona State,27,
408,7,Oct 15 2011,,Sat,Penn State,12:00 AM,,Purdue,18,
409,7,Oct 15 2011,,Sat,Rutgers,12:00 AM,,Navy,20,
410,7,Oct 15 2011,,Sat,(15) South Carolina,12:00 AM,@,Mississippi State,12,
411,7,Oct 15 2011,,Sat,Southern Methodist,12:00 AM,,Central Florida,17,
412,7,Oct 15 2011,,Sat,(7) Stanford,12:00 AM,@,Washington State,14,
413,7,Oct 15 2011,,Sat,Temple,12:00 AM,,Buffalo,0,
414,7,Oct 15 2011,,Sat,(21) Texas A&M,12:00 AM,,(20) Baylor,28,
415,7,Oct 15 2011,,Sat,Texas-El Paso,12:00 AM,@,Tulane,7,
416,7,Oct 15 2011,,Sat,Toledo,12:00 AM,@,Bowling Green State,21,
417,7,Oct 15 2011,,Sat,Tulsa,12:00 AM,,Alabama-Birmingham,20,
418,7,Oct 15 2011,,Sat,Utah,12:00 AM,@,Pittsburgh,14,
419,7,Oct 15 2011,,Sat,Virginia,12:00 AM,,(12) Georgia Tech,21,
420,7,Oct 15 2011,,Sat,(19) Virginia Tech,12:00 AM,@,Wake Forest,17,
421,7,Oct 15 2011,,Sat,Washington,12:00 AM,,Colorado,24,
422,7,Oct 15 2011,,Sat,Western Kentucky,12:00 AM,@,Florida Atlantic,0,
423,7,Oct 15 2011,,Sat,(4) Wisconsin,12:00 AM,,Indiana,7,
424,7,Oct 15 2011,,Sat,Wyoming,12:00 AM,,Nevada-Las Vegas,14,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
425,8,Oct 18 2011,,Tue,Arkansas State,12:00 AM,,Florida International,16,
426,8,Oct 20 2011,,Thu,Alabama-Birmingham,12:00 AM,,Central Florida,24,
427,8,Oct 20 2011,,Thu,Arizona,12:00 AM,,UCLA,12,
428,8,Oct 21 2011,,Fri,Louisville,12:00 AM,,Rutgers,14,
429,8,Oct 21 2011,,Fri,Syracuse,12:00 AM,,(11) West Virginia,23,
430,8,Oct 22 2011,,Sat,(2) Alabama,12:00 AM,,Tennessee,6,
431,8,Oct 22 2011,,Sat,(10) Arkansas,12:00 AM,@,Mississippi,24,
432,8,Oct 22 2011,,Sat,Ball State,12:00 AM,,Central Michigan,27,
433,8,Oct 22 2011,,Sat,(5) Boise State,12:00 AM,,Air Force,26,
434,8,Oct 22 2011,,Sat,Bowling Green State,12:00 AM,,Temple,10,
435,8,Oct 22 2011,,Sat,Brigham Young,12:00 AM,,Idaho State,3,
436,8,Oct 22 2011,,Sat,California,12:00 AM,,Utah,10,
437,8,Oct 22 2011,,Sat,Cincinnati,12:00 AM,@,South Florida,34,
438,8,Oct 22 2011,,Sat,(8) Clemson,12:00 AM,,North Carolina,38,
439,8,Oct 22 2011,,Sat,East Carolina,12:00 AM,@,Navy,35,
440,8,Oct 22 2011,,Sat,Eastern Michigan,12:00 AM,,Western Michigan,10,
441,8,Oct 22 2011,,Sat,Florida State,12:00 AM,,Maryland,16,
442,8,Oct 22 2011,,Sat,Hawaii,12:00 AM,,New Mexico State,34,
443,8,Oct 22 2011,,Sat,(21) Houston,12:00 AM,,Marshall,28,
444,8,Oct 22 2011,,Sat,Iowa,12:00 AM,,Indiana,24,
445,8,Oct 22 2011,,Sat,(12) Kansas State,12:00 AM,@,Kansas,21,
446,8,Oct 22 2011,,Sat,Kentucky,12:00 AM,,Jacksonville State,14,
447,8,Oct 22 2011,,Sat,(1) Louisiana State,12:00 AM,,(19) Auburn,10,
448,8,Oct 22 2011,,Sat,Louisiana Tech,12:00 AM,@,Utah State,17,
449,8,Oct 22 2011,,Sat,Memphis,12:00 AM,@,Tulane,17,
450,8,Oct 22 2011,,Sat,Miami (FL),12:00 AM,,(20) Georgia Tech,7,
451,8,Oct 22 2011,,Sat,(15) Michigan State,12:00 AM,,(4) Wisconsin,31,
452,8,Oct 22 2011,,Sat,Middle Tennessee State,12:00 AM,@,Florida Atlantic,14,
453,8,Oct 22 2011,,Sat,(13) Nebraska,12:00 AM,@,Minnesota,14,
454,8,Oct 22 2011,,Sat,Nevada,12:00 AM,,Fresno State,38,
455,8,Oct 22 2011,,Sat,North Carolina State,12:00 AM,@,Virginia,14,
456,8,Oct 22 2011,,Sat,North Texas,12:00 AM,,Louisiana-Monroe,21,
457,8,Oct 22 2011,,Sat,Northern Illinois,12:00 AM,@,Buffalo,30,
458,8,Oct 22 2011,,Sat,Ohio,12:00 AM,@,Akron,20,
459,8,Oct 22 2011,,Sat,(6) Oklahoma State,12:00 AM,@,Missouri,24,
460,8,Oct 22 2011,,Sat,(9) Oregon,12:00 AM,@,Colorado,2,
461,8,Oct 22 2011,,Sat,Oregon State,12:00 AM,@,Washington State,21,
462,8,Oct 22 2011,,Sat,Penn State,12:00 AM,@,Northwestern,24,
463,8,Oct 22 2011,,Sat,Purdue,12:00 AM,,(23) Illinois,14,
464,8,Oct 22 2011,,Sat,Southern California,12:00 AM,@,Notre Dame,17,
465,8,Oct 22 2011,,Sat,Southern Mississippi,12:00 AM,,Southern Methodist,3,
466,8,Oct 22 2011,,Sat,(7) Stanford,12:00 AM,,(22) Washington,21,
467,8,Oct 22 2011,,Sat,(17) Texas A&M,12:00 AM,@,Iowa State,17,
468,8,Oct 22 2011,,Sat,Texas Christian,12:00 AM,,New Mexico,0,
469,8,Oct 22 2011,,Sat,Texas Tech,12:00 AM,@,(3) Oklahoma,38,
470,8,Oct 22 2011,,Sat,Texas-El Paso,12:00 AM,,Colorado State,17,
471,8,Oct 22 2011,,Sat,Toledo,12:00 AM,,Miami (OH),28,
472,8,Oct 22 2011,,Sat,Tulsa,12:00 AM,@,Rice,20,
473,8,Oct 22 2011,,Sat,Vanderbilt,12:00 AM,,Army,21,
474,8,Oct 22 2011,,Sat,(16) Virginia Tech,12:00 AM,,Boston College,14,
475,8,Oct 22 2011,,Sat,Wake Forest,12:00 AM,@,Duke,23,
476,8,Oct 22 2011,,Sat,Western Kentucky,12:00 AM,,Louisiana-Lafayette,23,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
477,9,Oct 25 2011,,Tue,Florida International,12:00 AM,,Troy,20,
478,9,Oct 26 2011,,Wed,Pittsburgh,12:00 AM,,Connecticut,20,
479,9,Oct 27 2011,,Thu,(18) Houston,12:00 AM,,Rice,34,
480,9,Oct 27 2011,,Thu,Virginia,12:00 AM,@,Miami (FL),21,
481,9,Oct 28 2011,,Fri,Texas Christian,12:00 AM,,Brigham Young,28,Arlington TX
482,9,Oct 29 2011,,Sat,Air Force,12:00 AM,@,New Mexico,0,
483,9,Oct 29 2011,,Sat,(23) Arizona State,12:00 AM,,Colorado,14,
484,9,Oct 29 2011,,Sat,(8) Arkansas,12:00 AM,@,Vanderbilt,28,
485,9,Oct 29 2011,,Sat,Arkansas State,12:00 AM,,North Texas,14,
486,9,Oct 29 2011,,Sat,Army,12:00 AM,,Fordham,0,
487,9,Oct 29 2011,,Sat,Auburn,12:00 AM,,Mississippi,23,
488,9,Oct 29 2011,,Sat,Boston College,12:00 AM,@,Maryland,17,
489,9,Oct 29 2011,,Sat,Central Florida,12:00 AM,,Memphis,0,
490,9,Oct 29 2011,,Sat,Central Michigan,12:00 AM,@,Akron,22,
491,9,Oct 29 2011,,Sat,East Carolina,12:00 AM,,Tulane,13,
492,9,Oct 29 2011,,Sat,Florida State,12:00 AM,,North Carolina State,0,
493,9,Oct 29 2011,,Sat,(22) Georgia,12:00 AM,,Florida,20,Jacksonville FL
494,9,Oct 29 2011,,Sat,Georgia Tech,12:00 AM,,(6) Clemson,17,
495,9,Oct 29 2011,,Sat,Hawaii,12:00 AM,@,Idaho,14,
496,9,Oct 29 2011,,Sat,Iowa State,12:00 AM,@,(19) Texas Tech,7,
497,9,Oct 29 2011,,Sat,Kent State,12:00 AM,,Bowling Green State,15,
498,9,Oct 29 2011,,Sat,Louisiana Tech,12:00 AM,,San Jose State,28,
499,9,Oct 29 2011,,Sat,Louisiana-Lafayette,12:00 AM,@,Middle Tennessee State,20,
500,9,Oct 29 2011,,Sat,Louisville,12:00 AM,,Syracuse,10,
501,9,Oct 29 2011,,Sat,Marshall,12:00 AM,,Alabama-Birmingham,14,
502,9,Oct 29 2011,,Sat,Miami (OH),12:00 AM,,Buffalo,13,
503,9,Oct 29 2011,,Sat,(17) Michigan,12:00 AM,,Purdue,14,
504,9,Oct 29 2011,,Sat,Minnesota,12:00 AM,,Iowa,21,
505,9,Oct 29 2011,,Sat,Mississippi State,12:00 AM,@,Kentucky,16,
506,9,Oct 29 2011,,Sat,Missouri,12:00 AM,@,(16) Texas A&M,31,
507,9,Oct 29 2011,,Sat,(13) Nebraska,12:00 AM,,(9) Michigan State,3,
508,9,Oct 29 2011,,Sat,Nevada,12:00 AM,@,New Mexico State,34,
509,9,Oct 29 2011,,Sat,Nevada-Las Vegas,12:00 AM,,Colorado State,35,
510,9,Oct 29 2011,,Sat,North Carolina,12:00 AM,,Wake Forest,24,
511,9,Oct 29 2011,,Sat,Northwestern,12:00 AM,@,Indiana,38,
512,9,Oct 29 2011,,Sat,Notre Dame,12:00 AM,,Navy,14,
513,9,Oct 29 2011,,Sat,Ohio State,12:00 AM,,(12) Wisconsin,29,
514,9,Oct 29 2011,,Sat,(11) Oklahoma,12:00 AM,@,(10) Kansas State,17,
515,9,Oct 29 2011,,Sat,(3) Oklahoma State,12:00 AM,,Baylor,24,
516,9,Oct 29 2011,,Sat,(7) Oregon,12:00 AM,,Washington State,28,
517,9,Oct 29 2011,,Sat,(21) Penn State,12:00 AM,,Illinois,7,
518,9,Oct 29 2011,,Sat,(14) South Carolina,12:00 AM,@,Tennessee,3,
519,9,Oct 29 2011,,Sat,Southern Mississippi,12:00 AM,@,Texas-El Paso,13,
520,9,Oct 29 2011,,Sat,(4) Stanford,12:00 AM,@,(20) Southern California,48,
521,9,Oct 29 2011,,Sat,Texas,12:00 AM,,Kansas,0,
522,9,Oct 29 2011,,Sat,Tulsa,12:00 AM,,Southern Methodist,7,
523,9,Oct 29 2011,,Sat,UCLA,12:00 AM,,California,14,
524,9,Oct 29 2011,,Sat,Utah,12:00 AM,,Oregon State,8,
525,9,Oct 29 2011,,Sat,(15) Virginia Tech,12:00 AM,@,Duke,10,
526,9,Oct 29 2011,,Sat,Washington,12:00 AM,,Arizona,31,
527,9,Oct 29 2011,,Sat,(25) West Virginia,12:00 AM,@,Rutgers,31,
528,9,Oct 29 2011,,Sat,Western Kentucky,12:00 AM,@,Louisiana-Monroe,28,
529,9,Oct 29 2011,,Sat,Western Michigan,12:00 AM,,Ball State,35,
530,9,Oct 29 2011,,Sat,Wyoming,12:00 AM,@,San Diego State,27,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
531,10,Nov 1 2011,,Tue,Northern Illinois,12:00 AM,@,Toledo,60,
532,10,Nov 2 2011,,Wed,Ohio,12:00 AM,,Temple,31,
533,10,Nov 3 2011,,Thu,Florida State,12:00 AM,@,Boston College,7,
534,10,Nov 3 2011,,Thu,Miami (OH),12:00 AM,,Akron,3,
535,10,Nov 3 2011,,Thu,Tulsa,12:00 AM,@,Central Florida,17,
536,10,Nov 4 2011,,Fri,Kent State,12:00 AM,,Central Michigan,21,
537,10,Nov 4 2011,,Fri,(21) Southern California,12:00 AM,@,Colorado,17,
538,10,Nov 5 2011,,Sat,Air Force,12:00 AM,,Army,14,
539,10,Nov 5 2011,,Sat,(8) Arkansas,12:00 AM,,(10) South Carolina,28,
540,10,Nov 5 2011,,Sat,Arkansas State,12:00 AM,@,Florida Atlantic,21,
541,10,Nov 5 2011,,Sat,Ball State,12:00 AM,@,Eastern Michigan,31,
542,10,Nov 5 2011,,Sat,Baylor,12:00 AM,,Missouri,39,
543,10,Nov 5 2011,,Sat,(5) Boise State,12:00 AM,@,Nevada-Las Vegas,21,
544,10,Nov 5 2011,,Sat,California,12:00 AM,,Washington State,7,
545,10,Nov 5 2011,,Sat,(23) Cincinnati,12:00 AM,@,Pittsburgh,23,
546,10,Nov 5 2011,,Sat,Connecticut,12:00 AM,,Syracuse,21,
547,10,Nov 5 2011,,Sat,Florida,12:00 AM,,Vanderbilt,21,
548,10,Nov 5 2011,,Sat,(18) Georgia,12:00 AM,,New Mexico State,16,
549,10,Nov 5 2011,,Sat,(14) Houston,12:00 AM,@,Alabama-Birmingham,13,
550,10,Nov 5 2011,,Sat,Idaho,12:00 AM,@,San Jose State,29,
551,10,Nov 5 2011,,Sat,Iowa,12:00 AM,,(13) Michigan,16,
552,10,Nov 5 2011,,Sat,Iowa State,12:00 AM,,Kansas,10,
553,10,Nov 5 2011,,Sat,Kentucky,12:00 AM,,Mississippi,13,
554,10,Nov 5 2011,,Sat,(1) Louisiana State,12:00 AM,@,(2) Alabama,6,
555,10,Nov 5 2011,,Sat,Louisiana Tech,12:00 AM,@,Fresno State,21,
556,10,Nov 5 2011,,Sat,Louisiana-Lafayette,12:00 AM,,Louisiana-Monroe,35,
557,10,Nov 5 2011,,Sat,Louisville,12:00 AM,@,(24) West Virginia,35,
558,10,Nov 5 2011,,Sat,Miami (FL),12:00 AM,,Duke,14,
559,10,Nov 5 2011,,Sat,(15) Michigan State,12:00 AM,,Minnesota,24,
560,10,Nov 5 2011,,Sat,Mississippi State,12:00 AM,,Tennessee-Martin,17,
561,10,Nov 5 2011,,Sat,Navy,12:00 AM,,Troy,14,
562,10,Nov 5 2011,,Sat,North Carolina State,12:00 AM,,North Carolina,0,
563,10,Nov 5 2011,,Sat,Northwestern,12:00 AM,@,(9) Nebraska,25,
564,10,Nov 5 2011,,Sat,Notre Dame,12:00 AM,@,Wake Forest,17,
565,10,Nov 5 2011,,Sat,Ohio State,12:00 AM,,Indiana,20,
566,10,Nov 5 2011,,Sat,(7) Oklahoma,12:00 AM,,Texas A&M,25,
567,10,Nov 5 2011,,Sat,(3) Oklahoma State,12:00 AM,,(17) Kansas State,45,
568,10,Nov 5 2011,,Sat,(6) Oregon,12:00 AM,@,Washington,17,
569,10,Nov 5 2011,,Sat,Rice,12:00 AM,,Texas-El Paso,37,
570,10,Nov 5 2011,,Sat,Rutgers,12:00 AM,,South Florida,17,
571,10,Nov 5 2011,,Sat,San Diego State,12:00 AM,,New Mexico,7,
572,10,Nov 5 2011,,Sat,Southern Methodist,12:00 AM,,Tulane,24,
573,10,Nov 5 2011,,Sat,Southern Mississippi,12:00 AM,@,East Carolina,28,
574,10,Nov 5 2011,,Sat,(4) Stanford,12:00 AM,@,Oregon State,13,
575,10,Nov 5 2011,,Sat,Tennessee,12:00 AM,,Middle Tennessee State,0,
576,10,Nov 5 2011,,Sat,Texas,12:00 AM,,Texas Tech,20,
577,10,Nov 5 2011,,Sat,Texas Christian,12:00 AM,@,Wyoming,20,
578,10,Nov 5 2011,,Sat,UCLA,12:00 AM,,(20) Arizona State,28,
579,10,Nov 5 2011,,Sat,Utah,12:00 AM,@,Arizona,21,
580,10,Nov 5 2011,,Sat,Utah State,12:00 AM,@,Hawaii,31,
581,10,Nov 5 2011,,Sat,Virginia,12:00 AM,@,Maryland,13,
582,10,Nov 5 2011,,Sat,Western Kentucky,12:00 AM,,Florida International,9,
583,10,Nov 5 2011,,Sat,(19) Wisconsin,12:00 AM,,Purdue,17,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
584,11,Nov 8 2011,,Tue,Northern Illinois,12:00 AM,@,Bowling Green State,14,
585,11,Nov 8 2011,,Tue,Toledo,12:00 AM,,Western Michigan,63,
586,11,Nov 9 2011,,Wed,Temple,12:00 AM,,Miami (OH),21,
587,11,Nov 10 2011,,Thu,(11) Houston,12:00 AM,@,Tulane,17,
588,11,Nov 10 2011,,Thu,Ohio,12:00 AM,@,Central Michigan,28,
589,11,Nov 10 2011,,Thu,(10) Virginia Tech,12:00 AM,@,(20) Georgia Tech,26,
590,11,Nov 11 2011,,Fri,South Florida,12:00 AM,@,Syracuse,17,
591,11,Nov 12 2011,,Sat,(4) Alabama,12:00 AM,@,Mississippi State,7,
592,11,Nov 12 2011,,Sat,Alabama-Birmingham,12:00 AM,@,Memphis,35,
593,11,Nov 12 2011,,Sat,(8) Arkansas,12:00 AM,,Tennessee,7,
594,11,Nov 12 2011,,Sat,Arkansas State,12:00 AM,,Louisiana-Lafayette,21,
595,11,Nov 12 2011,,Sat,Baylor,12:00 AM,@,Kansas,30,
596,11,Nov 12 2011,,Sat,Boston College,12:00 AM,,North Carolina State,10,
597,11,Nov 12 2011,,Sat,Brigham Young,12:00 AM,,Idaho,7,
598,11,Nov 12 2011,,Sat,California,12:00 AM,,Oregon State,6,
599,11,Nov 12 2011,,Sat,(9) Clemson,12:00 AM,,Wake Forest,28,
600,11,Nov 12 2011,,Sat,Colorado,12:00 AM,,Arizona,29,
601,11,Nov 12 2011,,Sat,Eastern Michigan,12:00 AM,,Buffalo,17,
602,11,Nov 12 2011,,Sat,Florida International,12:00 AM,,Florida Atlantic,7,
603,11,Nov 12 2011,,Sat,Florida State,12:00 AM,,Miami (FL),19,
604,11,Nov 12 2011,,Sat,(14) Georgia,12:00 AM,,(24) Auburn,7,
605,11,Nov 12 2011,,Sat,(17) Kansas State,12:00 AM,,Texas A&M,50,
606,11,Nov 12 2011,,Sat,Kent State,12:00 AM,@,Akron,3,
607,11,Nov 12 2011,,Sat,(1) Louisiana State,12:00 AM,,Western Kentucky,9,
608,11,Nov 12 2011,,Sat,Louisiana Tech,12:00 AM,@,Mississippi,7,
609,11,Nov 12 2011,,Sat,Louisiana-Monroe,12:00 AM,,Middle Tennessee State,14,
610,11,Nov 12 2011,,Sat,(22) Michigan,12:00 AM,@,Illinois,14,
611,11,Nov 12 2011,,Sat,(13) Michigan State,12:00 AM,@,Iowa,21,
612,11,Nov 12 2011,,Sat,Missouri,12:00 AM,,(21) Texas,5,
613,11,Nov 12 2011,,Sat,Navy,12:00 AM,@,Southern Methodist,17,
614,11,Nov 12 2011,,Sat,(19) Nebraska,12:00 AM,@,(12) Penn State,14,
615,11,Nov 12 2011,,Sat,Nevada,12:00 AM,,Hawaii,28,
616,11,Nov 12 2011,,Sat,New Mexico,12:00 AM,,Nevada-Las Vegas,14,
617,11,Nov 12 2011,,Sat,New Mexico State,12:00 AM,,Fresno State,45,
618,11,Nov 12 2011,,Sat,North Texas,12:00 AM,@,Troy,33,
619,11,Nov 12 2011,,Sat,Northwestern,12:00 AM,,Rice,6,
620,11,Nov 12 2011,,Sat,Notre Dame,12:00 AM,@,Maryland,21,Landover MD
621,11,Nov 12 2011,,Sat,(2) Oklahoma State,12:00 AM,@,Texas Tech,6,
622,11,Nov 12 2011,,Sat,(6) Oregon,12:00 AM,@,(3) Stanford,30,
623,11,Nov 12 2011,,Sat,Pittsburgh,12:00 AM,@,Louisville,14,
624,11,Nov 12 2011,,Sat,Purdue,12:00 AM,,Ohio State,23,
625,11,Nov 12 2011,,Sat,Rutgers,12:00 AM,,Army,12,Bronx NY
626,11,Nov 12 2011,,Sat,San Diego State,12:00 AM,@,Colorado State,15,
627,11,Nov 12 2011,,Sat,(15) South Carolina,12:00 AM,,Florida,12,
628,11,Nov 12 2011,,Sat,(18) Southern California,12:00 AM,,Washington,17,
629,11,Nov 12 2011,,Sat,(25) Southern Mississippi,12:00 AM,,Central Florida,29,
630,11,Nov 12 2011,,Sat,Texas Christian,12:00 AM,@,(5) Boise State,35,
631,11,Nov 12 2011,,Sat,Texas-El Paso,12:00 AM,,East Carolina,17,
632,11,Nov 12 2011,,Sat,Tulsa,12:00 AM,,Marshall,17,
633,11,Nov 12 2011,,Sat,Utah,12:00 AM,,UCLA,6,
634,11,Nov 12 2011,,Sat,Utah State,12:00 AM,,San Jose State,33,
